publication_ID	author_ID	OpenAlex_Author_ID	author_name_display_clean	author_name_full	Institution	OpenAlex_Institution_ID	ROR	Type	Affiliation	Second_Institution	Second_OpenAlex_Institution_ID	Second_ROR	Second_Type	Second_Affiliation	Third_Institution	Third_OpenAlex_Institution_ID	Third_ROR	Third_Type	Third_Affiliation	Fourth_Institution	Fourth_OpenAlex_Institution_ID	Fourth_ROR	Fourth_Type	Fourth_Affiliation	Fifth_Institution	Fifth_OpenAlex_Institution_ID	Fifth_ROR	Fifth_Type	Fifth_Affiliation	Sixth_Institution	Sixth_OpenAlex_Institution_ID	Sixth_ROR	Sixth_Type	Sixth_Affiliation	Seventh_Institution	Seventh_OpenAlex_Institution_ID	Seventh_ROR	Seventh_Type	Seventh_Affiliation	Eighth_Institution	Eighth_OpenAlex_Institution_ID	Eighth_ROR	Eighth_Type	Eighth_Affiliation	Ninth_Institution	Ninth_OpenAlex_Institution_ID	Ninth_ROR	Ninth_Type	Ninth_Affiliation	Tenth_Institution	Tenth_OpenAlex_Institution_ID	Tenth_ROR	Tenth_Type	Tenth_Affiliation	Eleventh_Institution	Eleventh_OpenAlex_Institution_ID	Eleventh_ROR	Eleventh_Type	Eleventh_Affiliation	Twelfth_Institution	Twelfth_OpenAlex_Institution_ID	Twelfth_ROR	Twelfth_Type	Twelfth_Affiliation	Thirteenth_Institution	Thirteenth_OpenAlex_Institution_ID	Thirteenth_ROR	Thirteenth_Type	Thirteenth_Affiliation	Fourteenth_Institution	Fourteenth_OpenAlex_Institution_ID	Fourteenth_ROR	Fourteenth_Type	Fourteenth_Affiliation
PA_PUB_0037088	PA_AUTH_0043575	https://openalex.org/A5053572128	Donald P. Moynihan	Donald P. Moynihan (Donald P. Moynihan)	University of Wisconsin–Madison	https://openalex.org/I135310074	https://ror.org/01y2jtd41	education	University of Wisconsin-Madison																																																																	
PA_PUB_0037088	PA_AUTH_0054121	https://openalex.org/A5066592812	Sanjay K. Pandey	Sanjay K. Pandey (Sanjay K. Pandey)	University of Kansas	https://openalex.org/I146416000	https://ror.org/001tmjg57	education	"The University of Kansas, Lawrence"																																																																	
PA_PUB_0038497	PA_AUTH_0012005	https://openalex.org/A5014566928	Jurian Edelenbos	Jurian Edelenbos (Jurian Edelenbos)	Erasmus University Rotterdam	https://openalex.org/I913958620	https://ror.org/057w15z03	education	"Erasmus University, Rotterdam, the Netherlands"																																																																	
PA_PUB_0038497	PA_AUTH_0007206	https://openalex.org/A5008602905	Erik-Hans Klijn	Erik‐Hans Klijn (Erik-Hans Klijn)	Erasmus University Rotterdam	https://openalex.org/I913958620	https://ror.org/057w15z03	education	"Erasmus University, Rotterdam, the Netherlands"																																																																	
PA_PUB_0045721	PA_AUTH_0007206	https://openalex.org/A5008602905	Erik-Hans Klijn	Erik‐Hans Klijn (Erik-Hans Klijn)	Erasmus University Rotterdam	https://openalex.org/I913958620	https://ror.org/057w15z03	education	"Erasmus University, Rotterdam, Netherlands"																																																																	
PA_PUB_0045721	PA_AUTH_0012005	https://openalex.org/A5014566928	Jurian Edelenbos	Jurian Edelenbos (Jurian Edelenbos)	Erasmus University Rotterdam	https://openalex.org/I913958620	https://ror.org/057w15z03	education	"Erasmus University, Rotterdam, Netherlands"																																																																	
PA_PUB_0045721	PA_AUTH_0016300	https://openalex.org/A5019944396	Bram Steijn	Bram Steijn (Bram Steijn)	Erasmus University Rotterdam	https://openalex.org/I913958620	https://ror.org/057w15z03	education	"Erasmus University, Rotterdam, Netherlands"																																																																	
PA_PUB_0022268	PA_AUTH_0061481	https://openalex.org/A5075632036	Craig W. Thomas	Craig W. Thomas (Craig W. Thomas)	University of Massachusetts Amherst	https://openalex.org/I24603500	https://ror.org/0072zz521	education	University of Massachusetts: Amherst																																																																	
PA_PUB_0029154	PA_AUTH_0021979	https://openalex.org/A5026984273	John Alford	John Alford (John Alford)	The University of Melbourne	https://openalex.org/I165779595	https://ror.org/01ej9dk98	education	University of Melbourne																																																																	
PA_PUB_0060638	PA_AUTH_0014902	https://openalex.org/A5018159252	Ulrich Thy Jensen	Ulrich Thy Jensen (Ulrich Thy Jensen)	Arizona State University	https://openalex.org/I55732556	https://ror.org/03efmqc40	education	"Arizona State University, AZ, USA"																																																																	
PA_PUB_0060638	PA_AUTH_0069995	https://openalex.org/A5086010166	Lotte Bøgh Andersen	Lotte Bøgh Andersen (Lotte Bøgh Andersen)	Aarhus University	https://openalex.org/I204337017	https://ror.org/01aj84f44	education	"Danish Institute for Local and Regional Government Research, Copenhagen, Denmark"					"Aarhus University, Denmark"																																																												
PA_PUB_0060638	PA_AUTH_0087068		Louise Ladegaard Bro	Louise Ladegaard Bro (Louise Ladegaard Bro)	Aarhus University	https://openalex.org/I204337017	https://ror.org/01aj84f44	education	"Aarhus University, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0009256	https://openalex.org/A5011158894	Anne Bøllingtoft	Anne Bøllingtoft (Anne Bøllingtoft)	Aarhus University	https://openalex.org/I204337017	https://ror.org/01aj84f44	education	"Aarhus University, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0060505	https://openalex.org/A5074430648	Tine Louise Mundbjerg Eriksen	Tine Louise Mundbjerg Eriksen (Tine Louise Mundbjerg Eriksen)	Aarhus University	https://openalex.org/I204337017	https://ror.org/01aj84f44	education	"Aarhus University, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0068654	https://openalex.org/A5084322023	Ann-Louise Holten	Ann‐Louise Holten (Ann-Louise Holten)	University of Copenhagen	https://openalex.org/I124055696	https://ror.org/035b05819	education	"University of Copenhagen, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0052544	https://openalex.org/A5064681508	Christian Bøtcher Jacobsen	Christian Bøtcher Jacobsen (Christian Bøtcher Jacobsen)	Aarhus University	https://openalex.org/I204337017	https://ror.org/01aj84f44	education	"Aarhus University, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0039284	https://openalex.org/A5048328663	Jacob Ladenburg	Jacob Ladenburg (Jacob Ladenburg)					"Danish Institute for Local and Regional Government Research, Copenhagen, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0050288	https://openalex.org/A5061890779	Poul Aaes Nielsen	Poul Aaes Nielsen (Poul Aaes Nielsen)	University of Southern Denmark	https://openalex.org/I177969490	https://ror.org/03yrrjy16	education	"University of Southern Denmark, Odense, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0051652	https://openalex.org/A5063582019	Heidi Houlberg Salomonsen	Heidi Houlberg Salomonsen (Heidi Houlberg Salomonsen)	Aalborg University	https://openalex.org/I891191580	https://ror.org/04m5j1k67	education	"Aalborg University, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0085294	https://openalex.org/A5113517165	Niels Westergård-Nielsen	Niels Westergård‐Nielsen (Niels Westergård-Nielsen)	Copenhagen Business School	https://openalex.org/I180519160	https://ror.org/04sppb023	education	"Copenhagen Business School, Denmark"																																																																	
PA_PUB_0060638	PA_AUTH_0007556	https://openalex.org/A5009036656	Allan Würtz	Allan Würtz (Allan Würtz)	Aarhus University	https://openalex.org/I204337017	https://ror.org/01aj84f44	education	"Aarhus University, Denmark"																																																																	
PA_PUB_0052328	PA_AUTH_0059770	https://openalex.org/A5073518178	C.J.A.M. Termeer	C.J.A.M. Termeer (Catrien J. A. M. Termeer)	Wageningen University & Research	https://openalex.org/I913481162	https://ror.org/04qw24q55	education	"Wageningen University, Netherlands"																																																																	
PA_PUB_0052328	PA_AUTH_0034523	https://openalex.org/A5042495356	Art Dewulf	Art Dewulf (Art Dewulf)	Wageningen University & Research	https://openalex.org/I913481162	https://ror.org/04qw24q55	education	"Wageningen University, Netherlands"																																																																	
PA_PUB_0052328	PA_AUTH_0065160	https://openalex.org/A5080131973	G.E. Breeman	G.E. Breeman (Gerard Breeman)	Wageningen University & Research	https://openalex.org/I913481162	https://ror.org/04qw24q55	education	"Wageningen University, Netherlands"																																																																	
PA_PUB_0052328	PA_AUTH_0055631	https://openalex.org/A5068465487	Sabina Stiller	Sabina Stiller (Sabina J. Stiller)	Wageningen University & Research	https://openalex.org/I913481162	https://ror.org/04qw24q55	education	"Wageningen University, Netherlands"																																																																	
PA_PUB_0015288	PA_AUTH_0054141	https://openalex.org/A5066617319	Paul ‘t Hart	Paul ‘t Hart (Paul 't Hart)	Leiden University	https://openalex.org/I121797337	https://ror.org/027bh9e22	education	"University of Leiden, the Netherlands."																																																																	
PA_PUB_0015288	PA_AUTH_0026688	https://openalex.org/A5032752343	Uriel Rosenthal	Uriel Rosenthal (Uriel Rosenthal)	Netherlands School of Public Administration	https://openalex.org/I4210134196	https://ror.org/033958n71	education	"University of Leiden, the Netherlands, Netherlands School of Government"																																																																	
PA_PUB_0015288	PA_AUTH_0048075	https://openalex.org/A5059211933	Alexander Kouzmin	Alexander Kouzmin (Alexander Kouzmin)	Nepean Hospital	https://openalex.org/I2801688508	https://ror.org/03vb6df93	healthcare	"University of Western Sydney, Nepean"	Western Sydney University	https://openalex.org/I63525965	https://ror.org/03t52dk35	education																																																													
PA_PUB_0066391	PA_AUTH_0017857	https://openalex.org/A5021817508	Christopher Ansell	Christopher Ansell (Chris Ansell)	"University of California, Berkeley"	https://openalex.org/I95457486	https://ror.org/01an7q238	education	"University of California, Berkeley, CA, USA"																																																																	
PA_PUB_0066391	PA_AUTH_0066158	https://openalex.org/A5081367804	Arjen Boin	Arjen Boin (Arjen Boin)	Leiden University	https://openalex.org/I121797337	https://ror.org/027bh9e22	education	"Universiteit Leiden, Leiden, Netherlands"																																																																	
PA_PUB_0032129	PA_AUTH_0044734	https://openalex.org/A5055032163	Maarten A. Hajer	Maarten A. Hajer (Maarten A. Hajer)	University of Amsterdam	https://openalex.org/I887064364	https://ror.org/04dkp9463	education	University of Amsterdam																																																																	
PA_PUB_0019067	PA_AUTH_0007206	https://openalex.org/A5008602905	Erik-Hans Klijn	Erik‐Hans Klijn (Erik hans Klijn)	Erasmus University Rotterdam	https://openalex.org/I913958620	https://ror.org/057w15z03	education	Erasmus University of Rotterdam																																																																	
PA_PUB_0045056	PA_AUTH_0077912	https://openalex.org/A5102707107	Daniel Béland	Daniel Béland (Daniel Béland)	University of Saskatchewan	https://openalex.org/I32625721	https://ror.org/010x8gc63	education	"University of Saskatchewan, Saskatoon, Canada"																																																																	
PA_PUB_0011396	PA_AUTH_0003750	https://openalex.org/A5004388635	Sandra Waddock	Sandra Waddock (Sandra A. Waddock)	Boston College	https://openalex.org/I103531236	https://ror.org/02n2fzt79	education	Boston College																																																																	
PA_PUB_0027865	PA_AUTH_0024003	https://openalex.org/A5029466485	Todd M. La Porte	Todd M. La Porte (Todd M. la Porte)	George Mason University	https://openalex.org/I162714631	https://ror.org/02jqj7156	education	George Mason University																																																																	
PA_PUB_0027865	PA_AUTH_0083336	https://openalex.org/A5111456612	Chris C. Demchak	Chris C. Demchak (Chris C. Demchak)	University of Arizona	https://openalex.org/I138006243	https://ror.org/03m2x1q45	education	University of Arizona																																																																	
PA_PUB_0027865	PA_AUTH_0087115		Martin de Jong	Martin de Jong (Martin de Jong)	Institute on Governance	https://openalex.org/I1292020679	https://ror.org/00ppf7x29	nonprofit	Organisation and Governance	University of Technology	https://openalex.org/I4210134318	https://ror.org/03gbw6p94	education	University of Technology																																																												
PA_PUB_0024817	PA_AUTH_0002747	https://openalex.org/A5003218937	Thomas Webler	Thomas Webler (Thomas Webler)	Social and Environmental Research Institute	https://openalex.org/I4210148514	https://ror.org/04vv3qe07	facility	Social and Environmental Research Institute																																																																	
PA_PUB_0024817	PA_AUTH_0062888	https://openalex.org/A5077343912	Seth Tuler	Seth Tuler (Seth Tuler)	Social and Environmental Research Institute	https://openalex.org/I4210148514	https://ror.org/04vv3qe07	facility	Social and Environmental Research Institute																																																																	
PA_PUB_0057066	PA_AUTH_0002039	https://openalex.org/A5002366164	Patricia Bromley	Patricia Bromley (Patricia Bromley)	University of Utah	https://openalex.org/I223532165	https://ror.org/03r0ha626	education	"University of Utah, Salt Lake City, USA"																																																																	
PA_PUB_0057066	PA_AUTH_0071453	https://openalex.org/A5087738695	John W. Meyer	John W. Meyer (John W. Meyer)	Stanford University	https://openalex.org/I97018004	https://ror.org/00f54p054	education	"#N#2Stanford University, CA, USA"																																																																	
PA_PUB_0037163	PA_AUTH_0034355	https://openalex.org/A5042278842	Charo Rodríguez	Charo Rodríguez (Charo Rodríguez)	McGill University	https://openalex.org/I5023651	https://ror.org/01pxwe438	education	"McGill University, Montréal, Québec, Canada"																																																																	
PA_PUB_0037163	PA_AUTH_0048000	https://openalex.org/A5059129402	Ann Langley	Ann Langley (Ann Langley)	HEC Montréal	https://openalex.org/I108192572	https://ror.org/05ww3wq27	education	"HEC, Montréal, Québec, Canada"																																																																	
PA_PUB_0037163	PA_AUTH_0063248	https://openalex.org/A5077835749	François Béland	François Béland (François Béland)	Université de Montréal	https://openalex.org/I70931966	https://ror.org/0161xgx34	education	"Université de Montréal, Québec, Canada"																																																																	
PA_PUB_0037163	PA_AUTH_0014735	https://openalex.org/A5017970648	Jean-Louis Denis	Jean‐Louis Denis (Jean-Louis Denis)	Université de Montréal	https://openalex.org/I70931966	https://ror.org/0161xgx34	education	"Université de Montréal, Québec, Canada"																																																																	
PA_PUB_0036072	PA_AUTH_0021726	https://openalex.org/A5026672787	Naim Kapucu	Naim Kapucu (Naim Kapucu)	University of Central Florida	https://openalex.org/I106165777	https://ror.org/036nfer12	education	UNIVERSITY OF CENTRAL FLORIDA					University of Central Florida																																																												
PA_PUB_0036072	PA_AUTH_0039236	https://openalex.org/A5048267848	Montgomery Van Wart	Montgomery Van Wart (Montgomery Van Wart)	"California State University, San Bernardino"	https://openalex.org/I43369023	https://ror.org/02n651896	education	"California State University, San Bernardino"																																																																	
PA_PUB_0034136	PA_AUTH_0087498		Seok-Eun Kim	Seok-Eun Kim (Seok-Eun Kim)	Kansas State University	https://openalex.org/I189590672	https://ror.org/05p1j8758	education	DEPARTMENT OF PUBLIC ADMINISTRATION					Kansas State University																																																												
PA_PUB_0044118	PA_AUTH_0021726	https://openalex.org/A5026672787	Naim Kapucu	Naim Kapucu (Naim Kapucu)	University of Central Florida	https://openalex.org/I106165777	https://ror.org/036nfer12	education	University of Central Florida [Orlando]																																																																	
PA_PUB_0044118	PA_AUTH_0011653	https://openalex.org/A5014130241	Tolga Arslan	Tolga Arslan (Tolga Arslan)	University of Georgia	https://openalex.org/I165733156	https://ror.org/00te3t702	education	University of Georgia - Athens																																																																	
PA_PUB_0044118	PA_AUTH_0056521	https://openalex.org/A5069536480	Matthew Collins	Matthew Collins (Matthew Lloyd Collins)	Walden University	https://openalex.org/I80046288	https://ror.org/02qp2hh41	education	"Walden University, Naples, Florida"																																																																	
PA_PUB_0023934	PA_AUTH_0079094	https://openalex.org/A5103539448	Melissa M. Stone	Melissa M. Stone (Melissa M. Stone)	University of Minnesota System	https://openalex.org/I2800403580	https://ror.org/03grvy078	education	University of Minnesota																																																																	
PA_PUB_0023934	PA_AUTH_0037947	https://openalex.org/A5046690838	Barbara Bigelow	Barbara Bigelow (Barbara Bigelow)	Clark University	https://openalex.org/I130785548	https://ror.org/04123ky43	education	Clark University																																																																	
PA_PUB_0023934	PA_AUTH_0058537	https://openalex.org/A5071989194	William F. Crittenden	William F. Crittenden (William Crittenden)	Universidad del Noreste	https://openalex.org/I87182695	https://ror.org/02ahky613	education	Northeastern University																																																																	
PA_PUB_0031622	PA_AUTH_0043575	https://openalex.org/A5053572128	Donald P. Moynihan	Donald P. Moynihan (Donald P. Moynihan)	Mitchell Institute	https://openalex.org/I2801613365	https://ror.org/03ds72003	nonprofit	Texas A&M University	Texas A&M University	https://openalex.org/I91045830	https://ror.org/01f5ytq51	education																																																													
PA_PUB_0031622	PA_AUTH_0014908	https://openalex.org/A5018170416	Patricia W. Ingraham	Patricia W. Ingraham (Patricia Wallace Ingraham)	Syracuse University	https://openalex.org/I70983195	https://ror.org/025r5qe02	education	syracuse University																																																																	
PA_PUB_0034095	PA_AUTH_0018660	https://openalex.org/A5022833355	Ann L. Cunliffe	Ann L. Cunliffe (Ann L. Cunliffe)					University of New Mexico																																																																	
PA_PUB_0034095	PA_AUTH_0085818	https://openalex.org/A5113974166	Jong Sup Jun	Jong Sup Jun (Jong S. Jun)	California State University System	https://openalex.org/I127339247	https://ror.org/020qm1538	education	"California State University, Hayward"																																																																	
PA_PUB_0039281	PA_AUTH_0028607	https://openalex.org/A5035135766	George A. Boyne	George A. Boyne (George A. Boyne)	Cardiff University	https://openalex.org/I79510175	https://ror.org/03kk7td41	education	"Cardiff University, Wales, UK,"																																																																	
